Year,Month,County_City,Median_Sale_Value
2016, Feb,Southampton County,235000
2016, Feb,Spotsylvania County,234150
2016, Feb,Stafford County,285000
2016, Feb,Staunton City,132000
2016, Feb,Suffolk City,259000
2016, Feb,Surry County,117719
2016, Feb,Sussex County,40500
2016, Feb,Tazewell County,74900
2016, Feb,Virginia Beach City,234125
2016, Feb,Warren County,220000
2016, Feb,Washington County,169000
2016, Feb,Waynesboro City,184000
2016, Feb,Westmoreland County,194250
2016, Feb,Williamsburg City,259900
2016, Feb,Winchester City,155000
2016, Feb,Wise County,87640.25
2016, Feb,Wythe County,65900
2016, Feb,York County,235000
2016, Mar,Accomack County,135000
2016, Mar,Albemarle County,289000
2016, Mar,Alexandria City,462500
2016, Mar,Alleghany County,117750
2016, Mar,Amelia County,159950
2016, Mar,Amherst County,101900
2016, Mar,Appomattox County,133000
2016, Mar,Arlington County,525000
2016, Mar,Augusta County,177000
2016, Mar,Bath County,N/A
2016, Mar,Bedford County,195000
2016, Mar,Bland County,35000
2016, Mar,Botetourt County,165000
2016, Mar,Bristol City,123500
2016, Mar,Brunswick County,167000
2016, Mar,Buchanan County,10750
2016, Mar,Buckingham County,115000
2016, Mar,Buena Vista City,64500
2016, Mar,Campbell County,160000
2016, Mar,Caroline County,167000
2016, Mar,Carroll County,116000
2016, Mar,Charles City County,191500
2016, Mar,Charlotte County,135500
2016, Mar,Charlottesville City,248400
2016, Mar,Chesapeake City,240400
2016, Mar,Chesterfield County,225000
2016, Mar,Clarke County,268000
2016, Mar,Colonial Heights City,120000
2016, Mar,Covington City,22699.5
2016, Mar,Craig County,125500
2016, Mar,Culpeper County,259950
2016, Mar,Cumberland County,188500
2016, Mar,Danville City,64000
2016, Mar,Dickenson County,18650
2016, Mar,Dinwiddie County,138950
2016, Mar,Emporia City,62500
2016, Mar,Essex County,166500
2016, Mar,Fairfax City,452000
2016, Mar,Fairfax County,460000
2016, Mar,Falls Church City,826050
2016, Mar,Fauquier County,325000
2016, Mar,Floyd County,130500
2016, Mar,Fluvanna County,146500
2016, Mar,Franklin City,75000
2016, Mar,Franklin County,180000
2016, Mar,Frederick County,236705
2016, Mar,Fredericksburg City,280000
2016, Mar,Galax City,152500
2016, Mar,Giles County,92500
2016, Mar,Gloucester County,205000
2016, Mar,Goochland County,449750
2016, Mar,Grayson County,125000
2016, Mar,Greene County,184750
2016, Mar,Greensville County,42000
2016, Mar,Halifax County,70000
2016, Mar,Hampton City,135000
2016, Mar,Hanover County,256976
2016, Mar,Harrisonburg City,171000
2016, Mar,Henrico County,203750
2016, Mar,Henry County,79700
2016, Mar,Highland County,N/A
2016, Mar,Hopewell City,115000
2016, Mar,Isle of Wight County,251000
2016, Mar,James City County,300637.5
2016, Mar,King and Queen County,80000
2016, Mar,King George County,339000
2016, Mar,King William County,177950
2016, Mar,Lancaster County,149500
2016, Mar,Lee County,N/A
2016, Mar,Lexington City,130000
2016, Mar,Loudoun County,445000
2016, Mar,Louisa County,174999.5
2016, Mar,Lunenburg County,75000
2016, Mar,Lynchburg City,139000
2016, Mar,Madison County,205950
2016, Mar,Manassas City,249900
2016, Mar,Manassas Park City,285000
2016, Mar,Martinsville City,41475
2016, Mar,Mathews County,285000
2016, Mar,Mecklenburg County,109950
2016, Mar,Middlesex County,265000
2016, Mar,Montgomery County,189000
2016, Mar,Nelson County,224000
2016, Mar,New Kent County,248000
2016, Mar,Newport News City,159900
2016, Mar,Norfolk City,174900
2016, Mar,Northampton County,185750
2016, Mar,Northumberland County,180000
2016, Mar,Norton City,N/A
2016, Mar,Nottoway County,40299
2016, Mar,Orange County,218750
2016, Mar,Page County,101050
2016, Mar,Patrick County,70000
2016, Mar,Petersburg City,74500
2016, Mar,Pittsylvania County,82000
2016, Mar,Poquoson City,238500
2016, Mar,Portsmouth City,139000
2016, Mar,Powhatan County,270000
2016, Mar,Prince Edward County,185000
2016, Mar,Prince George County,222350
2016, Mar,Prince William County,325000
2016, Mar,Pulaski County,107450
2016, Mar,Radford City,144000
2016, Mar,Rappahannock County,392500
2016, Mar,Richmond City,213000
2016, Mar,Richmond County,167000
2016, Mar,Roanoke City,103000
2016, Mar,Roanoke County,179950
2016, Mar,Rockbridge County,150000
2016, Mar,Rockingham County,195000
2016, Mar,Russell County,90000
2016, Mar,Salem City,149950
2016, Mar,Scott County,25000
2016, Mar,Shenandoah County,187762.5
2016, Mar,Smyth County,83500
2016, Mar,Southampton County,194950
2016, Mar,Spotsylvania County,249900
2016, Mar,Stafford County,310000
2016, Mar,Staunton City,137500
2016, Mar,Suffolk City,232450
2016, Mar,Surry County,125000
2016, Mar,Sussex County,129950
2016, Mar,Tazewell County,66350
2016, Mar,Virginia Beach City,235000
2016, Mar,Warren County,182900
2016, Mar,Washington County,153000
2016, Mar,Waynesboro City,130000
2016, Mar,Westmoreland County,154850
2016, Mar,Williamsburg City,150000
2016, Mar,Winchester City,143000
2016, Mar,Wise County,19549
2016, Mar,Wythe County,100000
2016, Mar,York County,290000
2016, Apr,Accomack County,160000
2016, Apr,Albemarle County,348000
2016, Apr,Alexandria City,479950
2016, Apr,Alleghany County,113000
2016, Apr,Amelia County,157450
2016, Apr,Amherst County,149900
2016, Apr,Appomattox County,139900
2016, Apr,Arlington County,549900
2016, Apr,Augusta County,205900
2016, Apr,Bath County,137000
2016, Apr,Bedford County,200000
2016, Apr,Bland County,55000
2016, Apr,Botetourt County,199950
2016, Apr,Bristol City,145000
2016, Apr,Brunswick County,113600
2016, Apr,Buchanan County,N/A
2016, Apr,Buckingham County,118500
2016, Apr,Buena Vista City,98850
2016, Apr,Campbell County,149900
2016, Apr,Caroline County,167000
2016, Apr,Carroll County,149000
2016, Apr,Charles City County,54200
2016, Apr,Charlotte County,89500
2016, Apr,Charlottesville City,275000
2016, Apr,Chesapeake City,249250
2016, Apr,Chesterfield County,225000
2016, Apr,Clarke County,273000
2016, Apr,Colonial Heights City,128750
2016, Apr,Covington City,90000
2016, Apr,Craig County,165000
2016, Apr,Culpeper County,276933.91
2016, Apr,Cumberland County,117450
2016, Apr,Danville City,90000
2016, Apr,Dickenson County,44900
2016, Apr,Dinwiddie County,135700
2016, Apr,Emporia City,N/A
2016, Apr,Essex County,150000
2016, Apr,Fairfax City,500000
2016, Apr,Fairfax County,480000
2016, Apr,Falls Church City,707460
2016, Apr,Fauquier County,330000
2016, Apr,Floyd County,224500
2016, Apr,Fluvanna County,182500
2016, Apr,Franklin City,85000
2016, Apr,Franklin County,214250
2016, Apr,Frederick County,246250
2016, Apr,Fredericksburg City,299900
2016, Apr,Galax City,93000
2016, Apr,Giles County,84000
2016, Apr,Gloucester County,225950.5
2016, Apr,Goochland County,385000
2016, Apr,Grayson County,160000
2016, Apr,Greene County,256200
2016, Apr,Greensville County,N/A
2016, Apr,Halifax County,103000
2016, Apr,Hampton City,165000
2016, Apr,Hanover County,268950
2016, Apr,Harrisonburg City,147500
2016, Apr,Henrico County,219900
2016, Apr,Henry County,89000
2016, Apr,Highland County,275000
2016, Apr,Hopewell City,62399.5
2016, Apr,Isle of Wight County,245904
2016, Apr,James City County,324950
2016, Apr,King and Queen County,326750
2016, Apr,King George County,289900
2016, Apr,King William County,178475
2016, Apr,Lancaster County,220000
2016, Apr,Lee County,N/A
2016, Apr,Lexington City,215000
2016, Apr,Loudoun County,434450
2016, Apr,Louisa County,210500
2016, Apr,Lunenburg County,65000
2016, Apr,Lynchburg City,124250
2016, Apr,Madison County,179000
2016, Apr,Manassas City,270000
2016, Apr,Manassas Park City,280000
2016, Apr,Martinsville City,51500
2016, Apr,Mathews County,179900
2016, Apr,Mecklenburg County,170000
2016, Apr,Middlesex County,221000
2016, Apr,Montgomery County,195000
2016, Apr,Nelson County,227500
2016, Apr,New Kent County,215000
2016, Apr,Newport News City,170900
2016, Apr,Norfolk City,189900
2016, Apr,Northampton County,189900
2016, Apr,Northumberland County,287500
2016, Apr,Norton City,N/A
2016, Apr,Nottoway County,145000
2016, Apr,Orange County,192000
2016, Apr,Page County,111500
2016, Apr,Patrick County,75750
2016, Apr,Petersburg City,64250
2016, Apr,Pittsylvania County,91650
2016, Apr,Poquoson City,309500
2016, Apr,Portsmouth City,149500
2016, Apr,Powhatan County,224900
2016, Apr,Prince Edward County,140000
2016, Apr,Prince George County,223500
2016, Apr,Prince William County,340000
2016, Apr,Pulaski County,86250
2016, Apr,Radford City,136950
2016, Apr,Rappahannock County,290000
2016, Apr,Richmond City,212000
2016, Apr,Richmond County,122500
2016, Apr,Roanoke City,116950
2016, Apr,Roanoke County,175000
2016, Apr,Rockbridge County,228750
2016, Apr,Rockingham County,210000
2016, Apr,Russell County,120000
2016, Apr,Salem City,147500
2016, Apr,Scott County,81500
2016, Apr,Shenandoah County,159900
2016, Apr,Smyth County,92500
2016, Apr,Southampton County,68000
2016, Apr,Spotsylvania County,246750
2016, Apr,Stafford County,309900
2016, Apr,Staunton City,163000
2016, Apr,Suffolk City,237725
2016, Apr,Surry County,65000
2016, Apr,Sussex County,137950
2016, Apr,Tazewell County,54500
2016, Apr,Virginia Beach City,251000
2016, Apr,Warren County,205000
2016, Apr,Washington County,154000
2016, Apr,Waynesboro City,96000
2016, Apr,Westmoreland County,159625
2016, Apr,Williamsburg City,270000
2016, Apr,Winchester City,190500
2016, Apr,Wise County,39847
2016, Apr,Wythe County,115750
2016, Apr,York County,359000
2016, May,Accomack County,160000
2016, May,Albemarle County,324000
2016, May,Alexandria City,538500
2016, May,Alleghany County,84000
2016, May,Amelia County,225000
2016, May,Amherst County,139950
2016, May,Appomattox County,179500
2016, May,Arlington County,535000
2016, May,Augusta County,206500
2016, May,Bath County,89900
2016, May,Bedford County,230000
2016, May,Bland County,90000
2016, May,Botetourt County,212000
2016, May,Bristol City,156000
2016, May,Brunswick County,180000
2016, May,Buchanan County,73750
2016, May,Buckingham County,151550
2016, May,Buena Vista City,71250
2016, May,Campbell County,169900
2016, May,Caroline County,165000
2016, May,Carroll County,118400
2016, May,Charles City County,169900
2016, May,Charlotte County,134000
2016, May,Charlottesville City,289750
2016, May,Chesapeake City,258542
2016, May,Chesterfield County,227000
2016, May,Clarke County,350000
2016, May,Colonial Heights City,138947.5
2016, May,Covington City,18000
2016, May,Craig County,216250
2016, May,Culpeper County,250000
2016, May,Cumberland County,113700
2016, May,Danville City,90175
2016, May,Dickenson County,19000
2016, May,Dinwiddie County,162000
2016, May,Emporia City,11000
2016, May,Essex County,235000
2016, May,Fairfax City,440000
2016, May,Fairfax County,495000
2016, May,Falls Church City,625000
2016, May,Fauquier County,375000
2016, May,Floyd County,147192.5
2016, May,Fluvanna County,185000
2016, May,Franklin City,211745
2016, May,Franklin County,189975
2016, May,Frederick County,243512.5
2016, May,Fredericksburg City,306484
2016, May,Galax City,103665
2016, May,Giles County,114900
2016, May,Gloucester County,220000
2016, May,Goochland County,344455
2016, May,Grayson County,87149.5
2016, May,Greene County,259000
2016, May,Greensville County,N/A
2016, May,Halifax County,87225
2016, May,Hampton City,157000
2016, May,Hanover County,250000
2016, May,Harrisonburg City,174750
2016, May,Henrico County,230000
2016, May,Henry County,95000
2016, May,Highland County,707950
2016, May,Hopewell City,103500
2016, May,Isle of Wight County,270000
2016, May,James City County,320000
2016, May,King and Queen County,219950
2016, May,King George County,250000
2016, May,King William County,149900
2016, May,Lancaster County,296000
2016, May,Lee County,N/A
2016, May,Lexington City,209000
2016, May,Loudoun County,451000
2016, May,Louisa County,200000
2016, May,Lunenburg County,100648.5
2016, May,Lynchburg City,130500
2016, May,Madison County,225000
2016, May,Manassas City,322000
2016, May,Manassas Park City,260000
2016, May,Martinsville City,139500
2016, May,Mathews County,163000
2016, May,Mecklenburg County,95000
2016, May,Middlesex County,233750
2016, May,Montgomery County,210000
2016, May,Nelson County,185000
2016, May,New Kent County,297500
2016, May,Newport News City,185000
2016, May,Norfolk City,200000
2016, May,Northampton County,127500
2016, May,Northumberland County,242500
2016, May,Norton City,N/A
2016, May,Nottoway County,80250
2016, May,Orange County,234000
2016, May,Page County,110000
2016, May,Patrick County,150000
2016, May,Petersburg City,85000
2016, May,Pittsylvania County,80000
2016, May,Poquoson City,305000
2016, May,Portsmouth City,144000
2016, May,Powhatan County,249975
2016, May,Prince Edward County,145000
2016, May,Prince George County,209900
2016, May,Prince William County,338000
2016, May,Pulaski County,133250
2016, May,Radford City,133750
2016, May,Rappahannock County,335000
2016, May,Richmond City,232500
2016, May,Richmond County,135000
2016, May,Roanoke City,120500
2016, May,Roanoke County,185000
2016, May,Rockbridge County,208000
2016, May,Rockingham County,185000
2016, May,Russell County,130000
2016, May,Salem City,162000
2016, May,Scott County,89250
2016, May,Shenandoah County,164000
2016, May,Smyth County,59500
2016, May,Southampton County,162000
2016, May,Spotsylvania County,250900
2016, May,Stafford County,319600
2016, May,Staunton City,139900
2016, May,Suffolk City,239900
2016, May,Surry County,195950
2016, May,Sussex County,129000
2016, May,Tazewell County,100000
2016, May,Virginia Beach City,242000
2016, May,Warren County,219450
2016, May,Washington County,144676
2016, May,Waynesboro City,144200
2016, May,Westmoreland County,177250
2016, May,Williamsburg City,271000
2016, May,Winchester City,212450
2016, May,Wise County,N/A
2016, May,Wythe County,98000
2016, May,York County,264000
2016, Jun,Accomack County,153300
2016, Jun,Albemarle County,377000
2016, Jun,Alexandria City,504150
2016, Jun,Alleghany County,82000
2016, Jun,Amelia County,182000
2016, Jun,Amherst County,110250
2016, Jun,Appomattox County,189900
2016, Jun,Arlington County,623500
2016, Jun,Augusta County,211000
2016, Jun,Bath County,303500
2016, Jun,Bedford County,235500
2016, Jun,Bland County,134000
2016, Jun,Botetourt County,245000
2016, Jun,Bristol City,79600
2016, Jun,Brunswick County,N/A
2016, Jun,Buchanan County,61750
2016, Jun,Buckingham County,114900
2016, Jun,Buena Vista City,154900
2016, Jun,Campbell County,170000
2016, Jun,Caroline County,173000
2016, Jun,Carroll County,122000
2016, Jun,Charles City County,155000
2016, Jun,Charlotte County,172450
2016, Jun,Charlottesville City,292500
2016, Jun,Chesapeake City,284900
2016, Jun,Chesterfield County,240000
2016, Jun,Clarke County,255000
2016, Jun,Colonial Heights City,137000
2016, Jun,Covington City,49000
2016, Jun,Craig County,155825
2016, Jun,Culpeper County,277500
2016, Jun,Cumberland County,126500
2016, Jun,Danville City,112000
2016, Jun,Dickenson County,N/A
2016, Jun,Dinwiddie County,149975
2016, Jun,Emporia City,N/A
2016, Jun,Essex County,153000
2016, Jun,Fairfax City,460000
2016, Jun,Fairfax County,515000
2016, Jun,Falls Church City,737500
2016, Jun,Fauquier County,352500
2016, Jun,Floyd County,177500
2016, Jun,Fluvanna County,206000
2016, Jun,Franklin City,153750
2016, Jun,Franklin County,201950
2016, Jun,Frederick County,240000
2016, Jun,Fredericksburg City,324900
2016, Jun,Galax City,77000
2016, Jun,Giles County,100649.5
2016, Jun,Gloucester County,242000
2016, Jun,Goochland County,309000
2016, Jun,Grayson County,89000
2016, Jun,Greene County,262519
2016, Jun,Greensville County,N/A
2016, Jun,Halifax County,80000
2016, Jun,Hampton City,159450
2016, Jun,Hanover County,270000
2016, Jun,Harrisonburg City,159000
2016, Jun,Henrico County,242500
2016, Jun,Henry County,80600
2016, Jun,Highland County,N/A
2016, Jun,Hopewell City,139950
2016, Jun,Isle of Wight County,275000
2016, Jun,James City County,319990
2016, Jun,King and Queen County,122000
2016, Jun,King George County,272125
2016, Jun,King William County,188000
2016, Jun,Lancaster County,269000
2016, Jun,Lee County,47649.5
2016, Jun,Lexington City,190500
2016, Jun,Loudoun County,454950
2016, Jun,Louisa County,234000
2016, Jun,Lunenburg County,78000
2016, Jun,Lynchburg City,136000
2016, Jun,Madison County,206000
2016, Jun,Manassas City,286000
2016, Jun,Manassas Park City,265000
2016, Jun,Martinsville City,68000
2016, Jun,Mathews County,278000
2016, Jun,Mecklenburg County,180000
2016, Jun,Middlesex County,221000
2016, Jun,Montgomery County,230000
2016, Jun,Nelson County,250000
2016, Jun,New Kent County,294000
2016, Jun,Newport News City,182000
2016, Jun,Norfolk City,200000
2016, Jun,Northampton County,170900
2016, Jun,Northumberland County,285000
2016, Jun,Norton City,N/A
2016, Jun,Nottoway County,76125
2016, Jun,Orange County,226000
2016, Jun,Page County,149000
2016, Jun,Patrick County,152500
2016, Jun,Petersburg City,80000
2016, Jun,Pittsylvania County,108000
2016, Jun,Poquoson City,277000
2016, Jun,Portsmouth City,152250
2016, Jun,Powhatan County,269500
2016, Jun,Prince Edward County,160000
2016, Jun,Prince George County,189900
2016, Jun,Prince William County,347000
2016, Jun,Pulaski County,111700
2016, Jun,Radford City,177500
2016, Jun,Rappahannock County,337500
2016, Jun,Richmond City,234925
2016, Jun,Richmond County,162500
2016, Jun,Roanoke City,132000
2016, Jun,Roanoke County,215000
2016, Jun,Rockbridge County,237000
2016, Jun,Rockingham County,222000
2016, Jun,Russell County,160000
2016, Jun,Salem City,211000
2016, Jun,Scott County,79500
2016, Jun,Shenandoah County,165000
2016, Jun,Smyth County,129750
2016, Jun,Southampton County,167500
2016, Jun,Spotsylvania County,250000
2016, Jun,Stafford County,327000
2016, Jun,Staunton City,135000
2016, Jun,Suffolk City,259900
2016, Jun,Surry County,128000
2016, Jun,Sussex County,128000
2016, Jun,Tazewell County,85000
2016, Jun,Virginia Beach City,261157.5
2016, Jun,Warren County,232450
2016, Jun,Washington County,165000
2016, Jun,Waynesboro City,162400
2016, Jun,Westmoreland County,163875
2016, Jun,Williamsburg City,286167
2016, Jun,Winchester City,252000
2016, Jun,Wise County,N/A
2016, Jun,Wythe County,131500
2016, Jun,York County,325000
2016, Jul,Accomack County,149000
2016, Jul,Albemarle County,337000
2016, Jul,Alexandria City,536000
2016, Jul,Alleghany County,111500
2016, Jul,Amelia County,163750
2016, Jul,Amherst County,162900
2016, Jul,Appomattox County,150950
2016, Jul,Arlington County,627000
2016, Jul,Augusta County,214250
2016, Jul,Bath County,280000
2016, Jul,Bedford County,239950
2016, Jul,Bland County,34500
2016, Jul,Botetourt County,201000
2016, Jul,Bristol City,54300
2016, Jul,Brunswick County,135000
2016, Jul,Buchanan County,29225
2016, Jul,Buckingham County,145000
2016, Jul,Buena Vista City,111500
2016, Jul,Campbell County,165000
2016, Jul,Caroline County,199900
2016, Jul,Carroll County,134000
2016, Jul,Charles City County,300000
2016, Jul,Charlotte County,79500
2016, Jul,Charlottesville City,287000
2016, Jul,Chesapeake City,275000
2016, Jul,Chesterfield County,237450
2016, Jul,Clarke County,335900
2016, Jul,Colonial Heights City,128950
2016, Jul,Covington City,N/A
2016, Jul,Craig County,113000
2016, Jul,Culpeper County,259450
2016, Jul,Cumberland County,127169
2016, Jul,Danville City,118500
2016, Jul,Dickenson County,27000
2016, Jul,Dinwiddie County,163500
2016, Jul,Emporia City,89900
2016, Jul,Essex County,217500
2016, Jul,Fairfax City,515000
2016, Jul,Fairfax County,495000
2016, Jul,Falls Church City,720000
2016, Jul,Fauquier County,347000
2016, Jul,Floyd County,123500
2016, Jul,Fluvanna County,214300
2016, Jul,Franklin City,137750
2016, Jul,Franklin County,230000
2016, Jul,Frederick County,249000
2016, Jul,Fredericksburg City,342375
2016, Jul,Galax City,115000
2016, Jul,Giles County,122500
2016, Jul,Gloucester County,213000
2016, Jul,Goochland County,439554
2016, Jul,Grayson County,84900
2016, Jul,Greene County,209500
2016, Jul,Greensville County,N/A
2016, Jul,Halifax County,112500
2016, Jul,Hampton City,164600
2016, Jul,Hanover County,271212
2016, Jul,Harrisonburg City,180000
2016, Jul,Henrico County,236000
2016, Jul,Henry County,99000
2016, Jul,Highland County,N/A
